date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:17:19	29043/29043	---M--	200	added ('OK')	image/png	etag:%227173-5cb3a031d7ad7%22	https://ageroute.ci/images/thumb_videos/182/_thumb3/capture-decran-dg.png	C:/xampp/htdocs/SITE_INTERNET_INCI_2022/SITE_WEB_INCI/ageroute.ci/images/thumb_videos/182/_thumb3/capture-decran-dg.png	(from https://ageroute.ci/actualites/videos?start=18)
09:17:20	31700/31700	---M-Z	200	added ('OK')	text/html	date:Mon,%2007%20Feb%202022%2009:17:20%20GMT	https://ageroute.ci/actualites/videos/176-lancement-des-travaux-de-voirie-de-la-ville-de-toumodi	C:/xampp/htdocs/SITE_INTERNET_INCI_2022/SITE_WEB_INCI/ageroute.ci/actualites/videos/176-lancement-des-travaux-de-voirie-de-la-ville-de-toumodi.html	(from https://ageroute.ci/actualites/videos?start=18)
09:17:20	38674/38674	---M--	200	added ('OK')	image/png	etag:%229712-5cb3a031d6b37%22	https://ageroute.ci/images/thumb_videos/176/_thumb3/voirie-toumodi.png	C:/xampp/htdocs/SITE_INTERNET_INCI_2022/SITE_WEB_INCI/ageroute.ci/images/thumb_videos/176/_thumb3/voirie-toumodi.png	(from https://ageroute.ci/actualites/videos?start=18)
09:17:20	31721/31721	---M-Z	200	added ('OK')	text/html	date:Mon,%2007%20Feb%202022%2009:17:20%20GMT	https://ageroute.ci/actualites/videos/175-lancement-des-travaux-de-la-voirie-de-la-ville-de-taabo	C:/xampp/htdocs/SITE_INTERNET_INCI_2022/SITE_WEB_INCI/ageroute.ci/actualites/videos/175-lancement-des-travaux-de-la-voirie-de-la-ville-de-taabo.html	(from https://ageroute.ci/actualites/videos?start=18)
09:17:20	34578/34578	---M--	200	added ('OK')	image/png	etag:%228712-5cb3a031d6b37%22	https://ageroute.ci/images/thumb_videos/175/_thumb3/lancement-taabo.png	C:/xampp/htdocs/SITE_INTERNET_INCI_2022/SITE_WEB_INCI/ageroute.ci/images/thumb_videos/175/_thumb3/lancement-taabo.png	(from https://ageroute.ci/actualites/videos?start=18)
09:17:20	25265/25265	---M--	200	added ('OK')	image/jpeg	etag:%2262b1-5cb3a031e45f6%22	https://ageroute.ci/images/thumb_videos/86/_thumb3/temoignage-pont-jacqueville.jpg	C:/xampp/htdocs/SITE_INTERNET_INCI_2022/SITE_WEB_INCI/ageroute.ci/images/thumb_videos/86/_thumb3/temoignage-pont-jacqueville.jpg	(from https://ageroute.ci/actualites/videos?start=18)
09:17:21	21915/21915	---M--	200	added ('OK')	image/jpeg	etag:%22559b-5cb3a031e45f6%22	https://ageroute.ci/images/thumb_videos/85/_thumb3/anna-lisette-zago.jpg	C:/xampp/htdocs/SITE_INTERNET_INCI_2022/SITE_WEB_INCI/ageroute.ci/images/thumb_videos/85/_thumb3/anna-lisette-zago.jpg	(from https://ageroute.ci/actualites/videos?start=18)
09:17:21	25551/25551	---M--	200	added ('OK')	image/jpeg	etag:%2263cf-5cb3a031e3656%22	https://ageroute.ci/images/thumb_videos/84/_thumb3/sylla-amidou-maire-anyama.jpg	C:/xampp/htdocs/SITE_INTERNET_INCI_2022/SITE_WEB_INCI/ageroute.ci/images/thumb_videos/84/_thumb3/sylla-amidou-maire-anyama.jpg	(from https://ageroute.ci/actualites/videos?start=24)
09:17:22	61685/61685	---M--	200	added ('OK')	image/png	etag:%22f0f5-5d76a0c2bd79b%22	https://ageroute.ci/images/article_gallery/271/_thumb2/0a2a8019.png	C:/xampp/htdocs/SITE_INTERNET_INCI_2022/SITE_WEB_INCI/ageroute.ci/images/article_gallery/271/_thumb2/0a2a8019.png	(from https://ageroute.ci/actualites/vie-de-l-entreprise/271-rencontre-direction-generale-personnel-au-cercle-du-rail)
09:17:22	690013/690013	---M--	200	added ('OK')	image/png	etag:%22a875d-5d4e69b95e3af%22	https://ageroute.ci/images/article/271/_thumb6/0a2a8019.png	C:/xampp/htdocs/SITE_INTERNET_INCI_2022/SITE_WEB_INCI/ageroute.ci/images/article/271/_thumb6/0a2a8019.png	(from https://ageroute.ci/actualites/vie-de-l-entreprise/271-rencontre-direction-generale-personnel-au-cercle-du-rail)
09:17:23	695113/695113	---M--	200	added ('OK')	image/png	etag:%22a9b49-5d4e694ba1b23%22	https://ageroute.ci/images/article_gallery/271/0a2a8019.png	C:/xampp/htdocs/SITE_INTERNET_INCI_2022/SITE_WEB_INCI/ageroute.ci/images/article_gallery/271/0a2a8019.png	(from https://ageroute.ci/actualites/vie-de-l-entreprise/271-rencontre-direction-generale-personnel-au-cercle-du-rail)
09:17:23	335910/335910	---M--	200	added ('OK')	image/png	etag:%2252026-5cba6ed4ff514%22	https://ageroute.ci/images/finaldgsignconventionconfidentialite-02.png	C:/xampp/htdocs/SITE_INTERNET_INCI_2022/SITE_WEB_INCI/ageroute.ci/images/finaldgsignconventionconfidentialite-02.png	(from https://ageroute.ci/actualites/vie-de-l-entreprise/247-le-directeur-general-engage-tout-le-personnel-a-la-confidentialite-2)
09:17:23	98024/98024	---M--	200	added ('OK')	font/woff	etag:%2217ee8-5cb3a03266412%22	https://ageroute.ci/media/com_rsform/css/frameworks/uikit/fonts/fontawesome-webfont.woff	C:/xampp/htdocs/SITE_INTERNET_INCI_2022/SITE_WEB_INCI/ageroute.ci/media/com_rsform/css/frameworks/uikit/fonts/fontawesome-webfont.woff	(from https://ageroute.ci/media/com_rsform/css/frameworks/uikit/uikit.min.css?6a7c03bfc92decd27f0487f6f3335e46)
09:17:23	77160/77160	---M--	200	added ('OK')	font/woff2	etag:%2212d68-5cb3a03266412%22	https://ageroute.ci/media/com_rsform/css/frameworks/uikit/fonts/fontawesome-webfont.woff2	C:/xampp/htdocs/SITE_INTERNET_INCI_2022/SITE_WEB_INCI/ageroute.ci/media/com_rsform/css/frameworks/uikit/fonts/fontawesome-webfont.woff2	(from https://ageroute.ci/media/com_rsform/css/frameworks/uikit/uikit.min.css?6a7c03bfc92decd27f0487f6f3335e46)
